class,gender,age
contraception,woman,23
"women's health, menstruation",woman,30
symptoms,woman,23
sexual health,man,20
"contraception, method recommendation",woman,22
something else,woman,23
"sexual health, STI",woman,NA
"men's health, prostate",man,40
UTI,man,NA
contraception,man,NA
"contraception, method recommendation",man,17
"contraception, method recommendation",woman,27
"men's health, prostate",man,28
contraception,woman,26
"women's health, menstruation",woman,23
contraception,man,NA
"women's health, menstruation",man,31
"women's health, cervical cancer",woman,35
"contraception, effectiveness",man,16
"women's health, menstruation",woman,24
"contraception, side effects",woman,20
sexual health,man,30
contraception,woman,20
"contraception, method recommendation",woman,24
sexual health,woman,17
"pregnancy, days, when fertile",man,21
pregnancy,woman,26
contraception,woman,20
contraception,woman,22
something else,woman,26
"pregnancy, days, when fertile",woman,20
"contraception, side effects",woman,39
"women's health, menstruation",woman,26
symptoms,woman,21
"men's health, prostate",man,30
contraception,woman,18
contraception,woman,20
something else,woman,20
"pregnancy, days, when safe",man,19
contraception,man,30
contraception,man,30
"sexual health, relationships",woman,22
"contraception, side effects",woman,21
"contraception, side effects",woman,20
"sexual health, STI",man,17
"women's health, cervical cancer",woman,33
"sexual health, STI",man,19
"sexual health, STI",man,35
"sexual health, STI",man,35
"sexual health, having sex",man,19
"contraception, effectiveness",man,28
"contraception, method recommendation",man,25
abortion,woman,17
contraception,man,18
"women's health, cervical cancer",woman,29
"pregnancy, days, when fertile",woman,41
"contraception, effectiveness",woman,30
symptoms,woman,23
UTI,woman,26
"women's health, cervical cancer",woman,27
sexual health,man,25
"contraception, side effects",woman,25
"pregnancy, miscarriage",woman,24
contraception,woman,24
"contraception, method recommendation",woman,16
"men's health, prostate",man,28
"contraception, method recommendation",woman,34
something else,man,36
"contraception, side effects",man,20
"contraception, method recommendation",man,21
UTI,woman,27
UTI,woman,25
"sexual health, having sex",woman,20
"contraception, method recommendation",man,28
symptoms,man,20
"men's health, prostate",woman,27
"sexual health, having sex",man,20
contraception,man,22
pregnancy,man,35
"men's health, penis size",man,23
sexual health,man,21
"sexual health, having sex",man,25
"men's health, prostate",man,32
UTI,woman,21
"women's health, cervical cancer",woman,40
"women's health, cervical cancer",woman,38
UTI,woman,25
contraception,woman,22
"contraception, side effects",man,26
"sexual health, having sex",woman,19
"contraception, method recommendation",woman,23
"contraception, side effects",woman,25
"sexual health, having sex",woman,18
"contraception, side effects",woman,24
"contraception, method recommendation",man,23
"contraception, side effects",woman,27
"contraception, side effects",man,27
contraception,man,17
contraception,woman,18
"contraception, method recommendation",man,28
"contraception, side effects",woman,22
"men's health, prostate",man,35
"contraception, method recommendation",woman,24
contraception,woman,20
UTI,woman,28
"contraception, side effects",man,25
"contraception, side effects",woman,20
"sexual health, STI",man,27
"pregnancy, days, when fertile",woman,23
"men's health, prostate",man,29
"sexual health, relationships",woman,20
"men's health, prostate",man,30
"contraception, method recommendation",woman,23
contraception,man,29
"contraception, side effects",woman,32
contraception,woman,30
"contraception, side effects",woman,22
"contraception, side effects",man,40
"sexual health, STI",man,27
"women's health, menstruation",woman,23
"sexual health, relationships",woman,20
"sexual health, STI",woman,24
"contraception, side effects",woman,17
"contraception, stopping",woman,23
something else,man,17
"contraception, side effects",man,17
sexual health,man,17
"contraception, method recommendation",woman,22
contraception,woman,21
symptoms,man,25
"pregnancy, days, when fertile",man,18
contraception,woman,20
"contraception, method recommendation",woman,23
"contraception, side effects",woman,27
pregnancy,man,18
"contraception, side effects",man,19
something else,woman,22
"sexual health, relationships",woman,16
"contraception, method recommendation",woman,28
"contraception, method recommendation",woman,25
"contraception, side effects",man,19
symptoms,man,25
"sexual health, having sex",man,19
symptoms,man,16
contraception,woman,17
"sexual health, having sex",woman,21
"sexual health, STI",woman,30
"contraception, side effects",woman,18
something else,man,25
sexual health,woman,20
"sexual health, having sex",man,19
"contraception, side effects",man,19
"pregnancy, days, when fertile",man,26
"women's health, menstruation",man,25
"sexual health, relationships",man,19
pregnancy,man,24
contraception,man,16
"pregnancy, days, when fertile",man,25
"contraception, side effects",woman,20
"sexual health, having sex",man,26
symptoms,woman,20
"sexual health, relationships",man,23
something else,woman,21
"sexual health, STI",man,26
contraception,woman,22
contraception,man,16
contraception,woman,21
contraception,man,16
contraception,woman,21
contraception,man,25
contraception,man,25
contraception,man,19
"sexual health, STI",man,19
"sexual health, STI",man,19
contraception,man,19
"sexual health, STI locate test",woman,21
abortion,woman,20
"contraception, side effects",woman,18
"sexual health, having sex",man,23
"contraception, method recommendation",woman,21
"sexual health, STI",man,25
sexual health,man,16
"sexual health, STI",man,16
contraception,woman,22
"men's health, erectile dysfunction",man,23
"sexual health, having sex",woman,18
"contraception, method recommendation",woman,20
abortion,man,25
"sexual health, having sex",woman,18
sexual health,man,17
"women's health, menstruation",woman,21
"women's health, menstruation",man,25
pregnancy,woman,26
symptoms,woman,23
contraception,man,24
"sexual health, relationships",woman,20
"sexual health, having sex",man,21
"contraception, method recommendation",man,25
"contraception, method recommendation",woman,21
"sexual health, masturbation",man,19
"sexual health, having sex",woman,20
"contraception, side effects",man,25
"women's health, menstruation",man,30
"contraception, method recommendation",woman,22
contraception,woman,26
"contraception, side effects",woman,20
"contraception, side effects",man,20
pregnancy,woman,24
sexual health,man,22
"women's health, cervical cancer",woman,20
"sexual health, relationships",woman,20
"sexual health, having sex",man,20
contraception,woman,30
contraception,woman,23
"contraception, side effects",woman,30
"contraception, side effects",woman,26
something else,man,30
"pregnancy, causes",woman,19
"contraception, side effects",woman,19
"men's health, erectile dysfunction",woman,30
"contraception, method recommendation",woman,20
"contraception, side effects",woman,23
symptoms,woman,40
"contraception, side effects",woman,21
"contraception, method recommendation",woman,29
"women's health, cervical cancer",woman,22
"contraception, side effects",woman,29
contraception,woman,22
"sexual health, having sex",man,36
"contraception, side effects",woman,23
"pregnancy, signs of",man,18
pregnancy,woman,20
contraception,man,28
symptoms,man,NA
"sexual health, having sex",man,20
"contraception, side effects",woman,22
"sexual health, relationships",man,21
contraception,woman,19
"contraception, side effects",woman,40
symptoms,woman,20
"pregnancy, days, when fertile",woman,19
"contraception, side effects",woman,25
contraception,woman,24
"pregnancy, days, when fertile",woman,NA
UTI,woman,25
"contraception, method recommendation",woman,NA
"pregnancy, days, when safe",woman,NA
contraception,woman,NA
"sexual health, having sex",woman,32
"women's health, menstruation",woman,19
"contraception, locate",woman,NA
"contraception, side effects",woman,20
contraception,woman,31
"contraception, method recommendation",man,19
"contraception, side effects",woman,20
contraception,woman,25
"contraception, effectiveness",woman,24
"contraception, side effects",woman,19
something else,man,20
contraception,woman,20
"contraception, side effects",man,25
symptoms,woman,25
"contraception, side effects",woman,27
contraception,woman,31
"contraception, method recommendation",woman,23
symptoms,woman,25
contraception,man,21
something else,man,22
contraception,woman,25
"sexual health, relationships",man,21
"symptoms, discharge",woman,22
contraception,man,24
"women's health, menstruation",woman,26
"contraception, side effects",woman,20
"contraception, side effects",man,24
pregnancy,woman,30
"pregnancy, days, when fertile",man,30
contraception,man,18
pregnancy,woman,24
"contraception, method recommendation",man,28
"contraception, side effects",woman,36
"contraception, side effects",man,28
contraception,woman,23
"contraception, side effects",woman,23
contraception,man,30
"contraception, side effects",woman,21
"contraception, side effects",woman,23
pregnancy,woman,26
"contraception, method recommendation",woman,22
pregnancy,woman,25
"contraception, side effects",woman,28
contraception,woman,19
contraception,woman,20
"sexual health, STI",man,23
"sexual health, having sex",man,23
"sexual health, STI",man,24
something else,man,17
"men's health, prostate",man,25
"symptoms, discharge",woman,19
"contraception, method recommendation",man,22
sexual health,man,NA
"women's health, menstruation",woman,19
contraception,woman,27
"women's health, menstruation",man,17
something else,woman,22
"contraception, side effects",woman,19
something else,man,25
"contraception, side effects",woman,NA
"sexual health, STI",woman,23
"sexual health, STI",woman,22
"contraception, side effects",woman,27
"women's health, cervical cancer",man,26
contraception,woman,23
pregnancy,man,25
sexual health,woman,19
"sexual health, relationships",man,20
"women's health, menstruation",woman,22
symptoms,woman,20
sexual health,man,17
"sexual health, having sex",man,20
contraception,man,22
contraception,man,21
"sexual health, relationships",man,33
contraception,woman,21
sexual health,woman,18
contraception,man,18
"sexual health, having sex",woman,21
"contraception, effectiveness",woman,20
"women's health, menstruation",woman,41
"pregnancy, days, when fertile",woman,24
sexual health,woman,22
symptoms,woman,21
contraception,woman,18
something else,woman,22
something else,man,24
"sexual health, STI",man,21
abortion,man,25
"women's health, menstruation",woman,30
"contraception, method recommendation",woman,19
"sexual health, relationships",woman,22
"contraception, side effects",man,20
"sexual health, having sex",woman,20
contraception,woman,NA
contraception,man,23
"sexual health, having sex",man,21
symptoms,man,50
"contraception, method recommendation",man,NA
"sexual health, having sex",man,19
"sexual health, having sex",woman,21
"contraception, side effects",woman,20
"sexual health, having sex",woman,20
contraception,man,18
symptoms,woman,22
"sexual health, relationships",man,21
"sexual health, having sex",woman,18
contraception,woman,18
"contraception, side effects",man,25
contraception,woman,18
"contraception, method recommendation",man,30
"contraception, effectiveness",man,23
"contraception, side effects",woman,38
"sexual health, STI",man,18
"sexual health, sexuality",man,17
contraception,woman,20
contraception,man,21
contraception,man,25
something else,man,20
"contraception, side effects",woman,26
"sexual health, STI",woman,NA
"contraception, side effects",woman,34
"contraception, side effects",woman,20
"pregnancy, days, when safe",woman,18
contraception,man,21
"contraception, method recommendation",woman,23
"sexual health, STI",woman,24
"contraception, side effects",man,18
"contraception, side effects",woman,20
"sexual health, STI",man,34
"sexual health, STI",man,23
"women's health, cervical cancer",woman,26
"contraception, side effects",woman,26
"contraception, side effects",man,21
"contraception, side effects",woman,24
contraception,woman,22
sexual health,man,23
contraception,woman,21
abortion,woman,21
"sexual health, having sex",man,20
mental health,woman,17
abortion,man,20
"contraception, method recommendation",woman,20
contraception,man,26
"women's health, cervical cancer",woman,33
sexual health,man,18
"women's health, cervical cancer",woman,25
"contraception, side effects",man,20
"sexual health, having sex",man,NA
"pregnancy, days, when safe",woman,25
UTI,man,18
contraception,woman,NA
"sexual health, sexuality",man,25
sexual health,woman,20
"contraception, side effects",woman,NA
UTI,man,27
"contraception, side effects",woman,18
"women's health, menstruation",man,22
abortion,woman,20
sexual health,woman,22
symptoms,woman,21
"men's health, penis size",man,21
contraception,woman,20
"contraception, side effects",woman,18
"sexual health, STI",woman,23
"sexual health, STI",woman,18
"sexual health, STI",man,23
"women's health, menstruation",woman,20
"women's health, menstruation",woman,20
"women's health, menstruation",woman,21
sexual health,man,40
"sexual health, STI",woman,32
pregnancy,woman,21
contraception,woman,21
"contraception, method recommendation",woman,20
contraception,woman,18
"sexual health, STI",man,21
"sexual health, STI",man,23
"contraception, effectiveness",man,32
something else,man,35
"pregnancy, days, when fertile",man,25
contraception,woman,22
"contraception, side effects",man,20
symptoms,woman,27
"sexual health, having sex",man,21
"contraception, side effects",woman,20
"sexual health, STI",man,27
"contraception, method recommendation",woman,19
something else,woman,36
sexual health,woman,19
"contraception, method recommendation",woman,21
"sexual health, STI",man,21
"sexual health, STI",man,29
"contraception, side effects",man,18
contraception,woman,20
"contraception, side effects",woman,32
sexual health,woman,25
something else,man,25
pregnancy,woman,29
"sexual health, STI",man,31
"sexual health, STI",woman,23
sexual health,woman,38
pregnancy,woman,32
something else,woman,29
contraception,woman,25
"contraception, locate",woman,22
"sexual health, relationships",man,19
"contraception, method recommendation",man,20
symptoms,woman,21
"sexual health, STI",man,24
"sexual health, having sex",man,30
"contraception, side effects",man,40
something else,man,19
"contraception, method recommendation",woman,20
something else,woman,22
"sexual health, having sex",woman,NA
"sexual health, STI",man,18
"sexual health, STI",woman,16
sexual health,man,25
contraception,man,25
"contraception, method recommendation",woman,20
"sexual health, STI",man,NA
"contraception, method recommendation",man,20
pregnancy,woman,21
"sexual health, STI",man,NA
"contraception, method recommendation",man,32
"contraception, method recommendation",man,22
"women's health, cervical cancer",man,20
"sexual health, having sex",man,20
contraception,man,NA
"contraception, side effects",man,25
something else,man,35
"contraception, method recommendation",woman,22
"contraception, method recommendation",woman,20
contraception,man,NA
symptoms,man,42
contraception,man,21
something else,man,18
"sexual health, relationships",woman,NA
sexual health,man,20
circumcision,man,19
"contraception, side effects",man,22
something else,woman,23
pregnancy,woman,20
"sexual health, STI",woman,17
"contraception, side effects",woman,34
UTI,woman,20
symptoms,man,24
"contraception, side effects",woman,27
"contraception, side effects",woman,25
"contraception, side effects",man,21
"pregnancy, days, when safe",woman,35
"sexual health, having sex",woman,18
"pregnancy, days, when safe",woman,23
"sexual health, STI",woman,26
"contraception, method recommendation",man,27
something else,man,22
"contraception, effectiveness",woman,25
"pregnancy, causes",man,22
contraception,woman,20
pregnancy,woman,31
"pregnancy, days, when fertile",woman,28
"contraception, side effects",man,27
contraception,man,23
symptoms,man,45
pregnancy,woman,25
contraception,woman,19
something else,woman,22
contraception,man,19
"sexual health, STI",woman,23
"contraception, side effects",woman,21
"contraception, side effects",woman,30
"contraception, method recommendation",man,24
"women's health, cervical cancer",woman,34
contraception,man,28
"sexual health, STI",man,27
contraception,woman,30
something else,woman,31
something else,man,27
contraception,man,25
"women's health, menstruation",woman,28
something else,woman,19
contraception,woman,26
contraception,man,24
contraception,man,30
"women's health, menstruation",woman,34
"contraception, side effects",woman,24
"contraception, effectiveness",man,21
"women's health, menstruation",man,30
"women's health, menstruation",man,24
contraception,woman,34
"contraception, side effects",man,21
"women's health, menstruation",woman,28
something else,man,22
"contraception, side effects",woman,NA
something else,woman,34
contraception,woman,15
"contraception, side effects",woman,21
contraception,woman,20
"sexual health, STI",woman,20
contraception,woman,23
symptoms,woman,21
something else,woman,30
pregnancy,woman,28
symptoms,woman,40
"sexual health, relationships",woman,18
something else,man,34
contraception,man,25
"sexual health, masturbation",man,19
"sexual health, having sex",woman,17
"sexual health, STI",woman,22
contraception,woman,20
contraception,man,38
"women's health, menstruation",woman,19
contraception,woman,26
"sexual health, STI",man,20
symptoms,man,24
pregnancy,woman,19
mental health,woman,45
sexual health,woman,20
"contraception, method recommendation",woman,45
"contraception, side effects",woman,25
"sexual health, having sex",man,26
"sexual health, having sex",woman,21
"women's health, menstruation",woman,20
contraception,woman,17
"contraception, side effects",woman,20
something else,woman,21
sexual health,woman,25
something else,woman,21
something else,woman,21
"sexual health, masturbation",woman,24
symptoms,woman,32
"women's health, cervical cancer",woman,21
pregnancy,man,18
sexual health,man,26
"contraception, side effects",woman,20
contraception,man,21
"pregnancy, days, when fertile",woman,32
"contraception, side effects",woman,27
sexual health,woman,20
"sexual health, having sex",man,19
contraception,woman,23
sexual health,man,24
symptoms,woman,22
pregnancy,woman,21
pregnancy,woman,27
sexual health,woman,22
"pregnancy, days, when safe",woman,17
"contraception, side effects",man,29
pregnancy,woman,20
"women's health, menstruation",woman,26
"sexual health, having sex",woman,20
something else,woman,23
symptoms,woman,18
"pregnancy, days, when fertile",woman,19
something else,woman,20
contraception,man,32
"contraception, side effects",woman,24
something else,man,20
"sexual health, STI",man,20
something else,woman,21
UTI,woman,30
"symptoms, discharge",man,28
pregnancy,woman,27
pregnancy,woman,NA
"sexual health, having sex",woman,23
something else,man,25
"contraception, side effects",man,23
"symptoms, discharge",man,24
"contraception, side effects",woman,21
"contraception, side effects",woman,30
"sexual health, STI",man,19
"contraception, side effects",woman,18
"women's health, menstruation",woman,26
"sexual health, having sex",man,26
contraception,woman,20
"contraception, side effects",man,20
"women's health, menstruation",woman,24
contraception,man,27
"sexual health, having sex",man,19
sexual health,man,18
"contraception, side effects",woman,18
"sexual health, relationships",man,19
"sexual health, STI",man,20
"sexual health, having sex",man,21
"sexual health, STI",man,23
"sexual health, having sex",woman,21
"contraception, method recommendation",woman,23
"contraception, side effects",woman,15
"women's health, menstruation",woman,21
"sexual health, having sex",man,25
"contraception, side effects",woman,32
symptoms,man,18
pregnancy,woman,31
contraception,man,27
"contraception, side effects",man,34
"women's health, cervical cancer",woman,30
contraception,man,17
"pregnancy, signs of",woman,19
"contraception, side effects",woman,20
"pregnancy, days, when fertile",woman,25
contraception,woman,22
sexual health,woman,20
"contraception, method recommendation",woman,24
"pregnancy, days, when fertile",woman,33
contraception,woman,19
contraception,woman,20
"symptoms, discharge",woman,25
"contraception, method recommendation",woman,22
"contraception, side effects",woman,24
"pregnancy, days, when safe",man,31
"pregnancy, days, when fertile",woman,NA
"women's health, menstruation",woman,20
"sexual health, having sex",man,26
"sexual health, STI",man,20
contraception,man,24
"sexual health, having sex",woman,27
"sexual health, STI",woman,22
"women's health, menstruation",woman,19
"contraception, side effects",woman,30
"contraception, effectiveness",woman,20
"sexual health, relationships",man,22
contraception,woman,26
"symptoms, discharge",woman,18
something else,woman,24
"sexual health, having sex",woman,20
"pregnancy, days, when fertile",man,26
something else,man,27
"women's health, menstruation",man,45
something else,woman,30
"contraception, side effects",woman,22
something else,man,NA
contraception,man,21
something else,woman,22
contraception,woman,23
"sexual health, STI",man,NA
symptoms,man,NA
"contraception, side effects",man,NA
"contraception, method recommendation",woman,26
"contraception, method recommendation",woman,23
"women's health, cervical cancer",woman,16
contraception,woman,27
pregnancy,woman,20
"sexual health, relationships",man,21
"women's health, menstruation",woman,20
"sexual health, having sex",man,28
"sexual health, having sex",man,25
"pregnancy, days, when fertile",woman,22
"contraception, method recommendation",woman,24
"contraception, side effects",woman,NA
contraception,man,NA
"sexual health, having sex",man,24
"pregnancy, days, when safe",man,24
"contraception, side effects",woman,23
"sexual health, STI",woman,19
"sexual health, STI",man,20
contraception,woman,17
contraception,man,NA
contraception,man,20
contraception,woman,21
UTI,woman,24
"contraception, side effects",woman,19
"pregnancy, days, when safe",man,20
"sexual health, having sex",man,19
"contraception, side effects",man,24
something else,man,23
"symptoms, discharge",woman,21
"contraception, side effects",man,20
"sexual health, masturbation",man,16
something else,man,30
symptoms,woman,21
something else,woman,30
"contraception, side effects",woman,40
"pregnancy, days, when safe",man,24
"contraception, method recommendation",man,19
"contraception, side effects",woman,16
contraception,woman,21
symptoms,woman,19
"contraception, method recommendation",woman,19
contraception,woman,20
"sexual health, STI",man,17
"contraception, side effects",woman,19
pregnancy,woman,25
"contraception, cost",man,21
"sexual health, having sex",woman,23
pregnancy,man,21
"pregnancy, days, when fertile",woman,22
"men's health, prostate",man,21
UTI,woman,24
contraception,woman,NA
"contraception, side effects",woman,26
pregnancy,woman,30
"sexual health, having sex",man,20
"contraception, method recommendation",woman,46
"sexual health, having sex",woman,24
something else,man,32
"contraception, side effects",man,23
"contraception, side effects",woman,31
contraception,woman,21
"women's health, menstruation",woman,NA
contraception,man,24
"pregnancy, miscarriage",woman,20
"sexual health, STI",woman,24
"sexual health, having sex",woman,20
"sexual health, relationships",man,NA
"women's health, menstruation",woman,21
"sexual health, having sex",man,19
"women's health, menstruation",man,17
"women's health, menstruation",woman,NA
"sexual health, relationships",woman,20
pregnancy,woman,38
"contraception, side effects",woman,20
symptoms,woman,NA
contraception,man,19
contraception,woman,22
sexual health,woman,18
sexual health,man,22
"contraception, side effects",man,29
"contraception, method recommendation",woman,48
contraception,man,19
symptoms,man,22
"men's health, erectile dysfunction",man,25
"contraception, side effects",man,22
contraception,man,19
pregnancy,woman,25
contraception,man,38
"contraception, locate",woman,32
"contraception, side effects",woman,24
contraception,man,NA
sexual health,woman,21
contraception,woman,22
"women's health, cervical cancer",woman,21
"contraception, method recommendation",woman,25
"contraception, method recommendation",woman,20
"contraception, method recommendation",woman,20
contraception,man,22
"contraception, method recommendation",woman,30
"contraception, method recommendation",woman,26
sexual health,woman,26
contraception,man,40
"sexual health, STI",woman,17
sexual health,woman,20
"contraception, side effects",woman,24
"contraception, side effects",man,20
"men's health, erectile dysfunction",man,40
"sexual health, STI",woman,22
symptoms,woman,21
"contraception, effectiveness",man,20
symptoms,woman,24
"men's health, penis size",man,NA
"provider, locate",woman,19
"sexual health, relationships",man,25
"contraception, method recommendation",woman,22
sexual health,woman,19
"contraception, method recommendation",woman,NA
"sexual health, STI",man,21
abortion,woman,20
"contraception, side effects",woman,25
"sexual health, STI",woman,22
sexual health,woman,25
"contraception, side effects",woman,NA
"pregnancy, days, when fertile",man,25
"contraception, method recommendation",man,15
pregnancy,woman,21
"contraception, stopping",woman,28
something else,man,19
"contraception, side effects",woman,29
circumcision,man,32
contraception,man,25
"contraception, method recommendation",woman,19
"contraception, effectiveness",woman,19
"contraception, side effects",man,16
"sexual health, having sex",man,21
"sexual health, STI",man,19
contraception,man,19
"contraception, method recommendation",woman,21
"contraception, side effects",woman,28
"symptoms, discharge",woman,42
"sexual health, having sex",woman,20
"contraception, side effects",woman,25
contraception,woman,18
contraception,woman,23
"contraception, method recommendation",woman,21
contraception,man,19
"contraception, method recommendation",man,28
"sexual health, having sex",woman,20
sexual health,woman,23
"contraception, side effects",woman,18
symptoms,man,20
"sexual health, STI",man,34
"contraception, method recommendation",woman,17
"contraception, effectiveness",man,26
sexual health,woman,NA
"sexual health, having sex",man,19
"pregnancy, days, when fertile",man,17
"men's health, penis size",man,NA
something else,woman,22
contraception,woman,18
"contraception, method recommendation",woman,17
sexual health,woman,NA
"symptoms, discharge",woman,18
"symptoms, discharge",woman,18
"sexual health, STI",woman,25
symptoms,woman,23
"contraception, stopping",woman,22
contraception,woman,20
"sexual health, masturbation",man,19
contraception,man,15
"sexual health, having sex",woman,20
"pregnancy, days, when fertile",man,17
contraception,woman,16
"sexual health, masturbation",man,20
"sexual health, masturbation",man,25
contraception,man,20
contraception,man,32
symptoms,woman,22
"contraception, side effects",man,23
symptoms,woman,19
"contraception, method recommendation",woman,22
"contraception, side effects",woman,20
"sexual health, relationships",man,32
"contraception, side effects",man,20
"sexual health, relationships",man,21
"symptoms, discharge",woman,24
"sexual health, having sex",man,19
something else,woman,33
"contraception, side effects",woman,21
"contraception, method recommendation",woman,27
"pregnancy, days, when fertile",man,NA
"contraception, method recommendation",woman,19
"contraception, side effects",woman,18
"contraception, method recommendation",woman,21
"contraception, side effects",woman,29
something else,woman,17
"pregnancy, days, when safe",man,22
sexual health,man,23
"contraception, side effects",man,20
"contraception, method recommendation",woman,21
"contraception, side effects",man,18
something else,man,20
"women's health, menstruation",man,18
"women's health, fibroids",woman,20
"pregnancy, days, when fertile",woman,24
"contraception, method recommendation",woman,20
sexual health,woman,16
sexual health,man,18
"contraception, side effects",man,20
"contraception, side effects",woman,21
"pregnancy, days, when fertile",woman,20
"sexual health, having sex",man,22
"contraception, method recommendation",woman,18
"contraception, side effects",woman,20
contraception,man,19
"contraception, method recommendation",woman,21
"contraception, method recommendation",woman,20
"women's health, menstruation",woman,34
"pregnancy, days, when safe",woman,18
"sexual health, STI",man,21
"sexual health, masturbation",man,23
UTI,woman,34
"pregnancy, days, when fertile",woman,17
pregnancy,man,27
"contraception, side effects",woman,NA
contraception,man,27
contraception,woman,17
symptoms,woman,19
contraception,woman,30
"sexual health, STI",man,NA
contraception,woman,24
"sexual health, having sex",man,20
"contraception, effectiveness",woman,20
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,24
"contraception, side effects",man,19
"contraception, side effects",man,34
"contraception, method recommendation",woman,19
sexual health,man,23
"sexual health, STI",man,21
contraception,man,23
"contraception, side effects",man,26
"contraception, side effects",man,18
"pregnancy, days, when fertile",man,20
"contraception, side effects",woman,19
"contraception, side effects",woman,20
"sexual health, relationships",man,21
"sexual health, having sex",woman,22
symptoms,woman,22
"women's health, menstruation",man,NA
contraception,man,24
"pregnancy, days, when fertile",man,19
"contraception, side effects",woman,29
"sexual health, STI",woman,20
"contraception, effectiveness",woman,30
"contraception, method recommendation",woman,21
something else,man,20
contraception,woman,21
"men's health, prostate",man,27
symptoms,woman,24
contraception,woman,16
"contraception, effectiveness",man,26
contraception,man,21
"contraception, effectiveness",woman,17
"sexual health, having sex",man,23
"contraception, effectiveness",woman,34
"pregnancy, days, when fertile",woman,27
sexual health,woman,NA
"contraception, method recommendation",man,27
sexual health,woman,24
"sexual health, masturbation",man,22
"contraception, side effects",woman,24
contraception,man,25
"sexual health, having sex",man,25
"men's health, prostate",woman,31
pregnancy,man,NA
"contraception, side effects",woman,25
"contraception, method recommendation",woman,28
"pregnancy, days, when fertile",woman,22
something else,man,27
"sexual health, STI",woman,19
"contraception, side effects",man,35
contraception,man,28
"contraception, method recommendation",woman,45
contraception,woman,18
"contraception, method recommendation",woman,20
"contraception, method recommendation",woman,20
"contraception, side effects",woman,28
"contraception, effectiveness",woman,31
"sexual health, having sex",man,22
UTI,woman,34
sexual health,man,21
contraception,woman,25
"contraception, side effects",woman,23
"contraception, side effects",woman,20
"sexual health, STI",woman,29
"women's health, cervical cancer",woman,32
sexual health,man,46
"contraception, side effects",woman,35
"contraception, side effects",woman,22
"women's health, fibroids",woman,34
"women's health, cervical cancer",woman,28
something else,woman,23
"contraception, method recommendation",woman,20
"contraception, method recommendation",woman,29
"contraception, side effects",woman,23
"pregnancy, days, when safe",woman,20
contraception,woman,25
"sexual health, STI",man,23
contraception,woman,24
contraception,woman,39
"contraception, method recommendation",woman,NA
sexual health,man,17
"sexual health, STI",man,16
contraception,woman,21
"contraception, side effects",woman,40
sexual health,woman,28
sexual health,woman,33
"contraception, side effects",woman,20
"sexual health, having sex",man,30
"sexual health, STI",woman,22
contraception,man,18
contraception,woman,24
"pregnancy, days, when safe",man,19
"sexual health, STI",man,24
UTI,man,18
"contraception, side effects",woman,18
"sexual health, having sex",woman,19
"sexual health, having sex",woman,18
"contraception, side effects",woman,22
pregnancy,woman,25
"contraception, side effects",woman,21
circumcision,man,NA
contraception,man,21
"sexual health, STI",woman,19
"sexual health, relationships",man,17
"contraception, side effects",woman,20
"contraception, side effects",woman,18
"women's health, menstruation",woman,17
"women's health, menstruation",woman,20
"sexual health, having sex",woman,22
sexual health,man,19
"contraception, side effects",man,30
contraception,woman,18
"contraception, method recommendation",man,22
contraception,woman,23
sexual health,woman,23
"sexual health, masturbation",man,21
"contraception, method recommendation",woman,20
"sexual health, masturbation",man,19
"provider, locate",woman,21
contraception,woman,24
"sexual health, STI",woman,19
"sexual health, having sex",woman,18
contraception,woman,18
"pregnancy, days, when fertile",woman,15
sexual health,woman,19
contraception,woman,19
contraception,woman,23
"contraception, side effects",man,23
"contraception, side effects",woman,27
contraception,woman,24
"contraception, method recommendation",woman,23
contraception,woman,20
"contraception, side effects",woman,21
pregnancy,woman,33
"contraception, side effects",woman,21
symptoms,man,23
"sexual health, relationships",man,23
contraception,man,29
contraception,man,37
UTI,woman,22
"contraception, method recommendation",woman,22
"contraception, side effects",woman,20
"pregnancy, miscarriage",woman,25
contraception,man,40
pregnancy,woman,NA
pregnancy,woman,24
"sexual health, STI",woman,20
"sexual health, STI",man,NA
contraception,man,44
contraception,man,25
"contraception, method recommendation",man,38
"sexual health, STI",man,22
contraception,man,22
"women's health, menstruation",man,25
something else,woman,22
"contraception, side effects",man,24
sexual health,man,20
"contraception, method recommendation",woman,35
"contraception, side effects",woman,25
contraception,woman,17
"pregnancy, days, when safe",man,17
pregnancy,woman,38
contraception,woman,35
"contraception, side effects",woman,23
"sexual health, STI",man,33
contraception,man,27
contraception,man,22
"pregnancy, days, when fertile",woman,25
contraception,woman,20
contraception,woman,22
"contraception, method recommendation",man,25
"pregnancy, days, when fertile",woman,23
"pregnancy, days, when fertile",woman,25
something else,woman,19
"sexual health, relationships",woman,22
contraception,man,32
contraception,woman,19
contraception,woman,23
"sexual health, STI",man,16
"contraception, side effects",man,21
something else,woman,21
"contraception, side effects",woman,24
something else,man,24
sexual health,woman,20
"contraception, side effects",woman,18
contraception,man,26
"women's health, menstruation",man,17
contraception,man,18
"women's health, menstruation",woman,23
"sexual health, relationships",man,18
symptoms,man,22
"sexual health, having sex",man,16
contraception,woman,24
"contraception, side effects",woman,20
"contraception, side effects",woman,21
"contraception, method recommendation",woman,21
"pregnancy, days, when safe",woman,33
sexual health,woman,21
"contraception, method recommendation",woman,23
"contraception, side effects",woman,20
